id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID
1,11,Glonass,42.5,0,277,12,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
2,21,Glonass,34.6,0,337,35,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
3,16,GPS,34.2,0,293,34,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
4,20,GPS,28.9,0,255,75,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
5,21,GPS,29.7,0,5,57,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
6,26,GPS,34.6,0,258,40,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
7,11,Glonass,42.5,1.35,277,11,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
8,5,Glonass,31.5,1.35,40,49,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
9,21,Glonass,34.6,1.35,337,34,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
10,10,GPS,30.6,1.05,227,48,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
11,13,GPS,22.8,1.05,47,9,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
12,15,GPS,31.4,1.05,80,34,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
13,16,GPS,26.6,1.05,295,33,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
14,20,GPS,37.5,1.05,260,75,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
15,21,GPS,35,1.05,4,56,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
16,26,GPS,37.7,1.05,258,40,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
17,29,GPS,34,1.05,119,42,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
18,32,GPS,23.6,1.05,185,3,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
19,11,Glonass,43.6,3.9,277,11,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
20,5,Glonass,31.5,3.9,40,49,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
21,21,Glonass,39.7,3.9,337,34,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
22,10,GPS,32,3.03,227,48,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
23,13,GPS,22.7,3.03,47,9,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
24,15,GPS,30.9,3.03,80,34,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
25,16,GPS,34.1,3.03,295,33,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
26,20,GPS,33.3,3.03,260,75,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
27,21,GPS,35.9,3.03,4,56,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
28,26,GPS,39,3.03,258,40,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
29,27,GPS,33.1,3.03,317,11,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
30,29,GPS,33,3.03,119,42,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
31,32,GPS,23.6,3.03,185,3,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
32,27,Beidou,35.9,2.95,0,0,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
33,1,Galileo,36.1,3.1,0,0,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
34,10,Glonass,23.3,2.35,226,4,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
35,12,Glonass,22.1,2.35,319,2,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
36,11,Glonass,38,2.35,277,11,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
37,5,Glonass,31.4,2.35,40,49,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
38,20,Glonass,21.2,2.35,56,47,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
39,19,Glonass,18.3,2.35,105,9,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
40,21,Glonass,33.2,2.35,337,34,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
41,7,Glonass,25.3,2.35,196,12,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
42,4,Glonass,24.8,2.35,25,2,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
43,10,GPS,33.9,1.56,227,48,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
44,13,GPS,26.7,1.56,47,9,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
45,15,GPS,28.7,1.56,80,34,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
46,16,GPS,38.7,1.56,295,33,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
47,20,GPS,35.8,1.56,260,75,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
48,21,GPS,29.2,1.56,4,56,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
49,25,GPS,16.8,1.56,170,2,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
50,26,GPS,38.4,1.56,258,40,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
51,27,GPS,32.8,1.56,317,11,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
52,29,GPS,31.2,1.56,119,42,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
53,32,GPS,21.3,1.56,185,3,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
54,5,Beidou,21.7,1.7,157,55,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
55,6,Beidou,19.9,1.7,61,37,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
56,9,Beidou,24.2,1.7,94,49,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
57,13,Beidou,25,1.7,78,29,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
58,16,Beidou,20,1.7,67,42,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
59,27,Beidou,34.9,1.7,0,0,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
60,1,Galileo,35.8,1.62,289,16,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
61,10,Glonass,23.4,0.56,226,4,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
62,6,Glonass,17.8,0.56,174,61,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
63,12,Glonass,21.4,0.56,319,2,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
64,11,Glonass,38.2,0.56,277,11,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
65,5,Glonass,31.9,0.56,40,49,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
66,20,Glonass,20.6,0.56,56,47,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
67,19,Glonass,18.5,0.56,105,9,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
68,21,Glonass,34,0.56,337,34,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
69,7,Glonass,24.7,0.56,196,12,TORGI-GNSS-20180912 094130.gpkg,0,Control-11
