id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID
1,3,Glonass,30.4,0,28,36,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
2,4,Glonass,32.7,0,270,78,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
3,8,GPS,38.9,0,306,41,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
4,10,GPS,37.4,0,18,63,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
5,21,GPS,34.1,0,98,30,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
6,27,GPS,39.6,0,260,68,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
7,32,GPS,38.9,0,151,55,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
8,9,Beidou,32.4,0,0,0,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
9,18,Glonass,29.7,0.82,123,50,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
10,5,Glonass,28,0.82,222,28,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
11,3,Glonass,30.4,0.82,28,36,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
12,4,Glonass,32.7,0.82,270,78,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
13,8,GPS,39.4,-0.07,306,41,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
14,10,GPS,36.9,-0.07,18,63,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
15,20,GPS,34.1,-0.07,47,39,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
16,21,GPS,35.2,-0.07,98,30,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
17,27,GPS,39.8,-0.07,260,68,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
18,32,GPS,40.1,-0.07,153,55,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
19,9,Beidou,32,0.26,0,0,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
20,22,Beidou,35.8,0.26,0,0,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
21,18,Glonass,29.7,2.73,123,50,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
22,5,Glonass,28,2.73,222,28,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
23,19,Glonass,22.6,2.73,354,66,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
24,17,Glonass,21.2,2.73,137,3,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
25,3,Glonass,32.2,2.73,28,36,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
26,4,Glonass,35.1,2.73,270,78,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
27,8,GPS,37.3,1.34,306,41,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
28,10,GPS,36,1.34,18,63,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
29,14,GPS,23.5,1.34,174,35,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
30,16,GPS,23.6,1.34,220,12,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
31,20,GPS,32.7,1.34,47,39,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
32,21,GPS,31.6,1.34,98,30,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
33,24,GPS,19.6,1.34,60,2,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
34,27,GPS,40.3,1.34,260,68,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
35,32,GPS,37.8,1.34,153,55,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
36,9,Beidou,31,1.84,0,0,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
37,16,Beidou,30.2,1.84,45,35,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
38,22,Beidou,37.5,1.84,0,0,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
39,18,Glonass,28.8,1.82,123,50,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
40,5,Glonass,37.9,1.82,222,28,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
41,19,Glonass,29,1.82,354,66,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
42,17,Glonass,22.1,1.82,137,3,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
43,3,Glonass,34.8,1.82,28,36,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
44,4,Glonass,35.1,1.82,270,78,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
45,8,GPS,36.7,-0.09,306,41,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
46,10,GPS,38.2,-0.09,18,63,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
47,11,GPS,19.9,-0.09,307,2,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
48,14,GPS,29.7,-0.09,174,35,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
49,16,GPS,29.4,-0.09,220,12,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
50,18,GPS,31.7,-0.09,300,15,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
51,20,GPS,33.6,-0.09,47,39,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
52,21,GPS,27,-0.09,98,30,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
53,24,GPS,21.6,-0.09,60,2,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
54,27,GPS,40.6,-0.09,260,68,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
55,32,GPS,30.6,-0.09,153,55,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
56,18,Glonass,24.2,-0.44,123,50,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
57,5,Glonass,37.5,-0.44,222,28,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
58,19,Glonass,28.3,-0.44,354,66,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
59,17,Glonass,21.7,-0.44,137,3,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
60,3,Glonass,38.2,-0.44,28,36,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
61,4,Glonass,31.2,-0.44,270,78,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
62,8,GPS,35.2,-1.92,306,41,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
63,10,GPS,38,-1.92,18,63,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
64,11,GPS,20,-1.92,307,2,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
65,14,GPS,27.4,-1.92,174,35,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
66,16,GPS,23.7,-1.92,220,12,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
67,18,GPS,31.1,-1.92,300,15,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
68,20,GPS,37.3,-1.92,47,39,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
69,21,GPS,30.7,-1.92,98,30,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
70,24,GPS,21.2,-1.92,60,2,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
71,27,GPS,40.7,-1.92,260,68,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
72,32,GPS,35.9,-1.92,153,55,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
73,18,Glonass,27.6,2.78,123,50,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
74,5,Glonass,34.8,2.78,222,28,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
75,20,Glonass,15.3,2.78,326,11,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
76,19,Glonass,30.6,2.78,354,66,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
77,17,Glonass,21.7,2.78,137,3,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
78,3,Glonass,38,2.78,28,36,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
79,4,Glonass,33.6,2.78,270,78,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
80,8,GPS,32,1.47,306,41,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
81,10,GPS,39.2,1.47,18,63,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
82,11,GPS,20.2,1.47,307,2,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
83,14,GPS,29.2,1.47,174,35,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
84,16,GPS,28.6,1.47,220,12,TORGI-GNSS-20180909T111154.346Z.gpkg,0,Control-58
