id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID
1,10,Glonass,40.4,0,327,18,TORGI-GNSS-20180905T035519.442Z.gpkg,0,Control-49
2,9,Glonass,30.9,0,338,70,TORGI-GNSS-20180905T035519.442Z.gpkg,0,Control-49
3,16,Glonass,27.9,0,140,45,TORGI-GNSS-20180905T035519.442Z.gpkg,0,Control-49
4,20,Glonass,22.2,0,234,42,TORGI-GNSS-20180905T035519.442Z.gpkg,0,Control-49
5,19,Glonass,30.8,0,357,66,TORGI-GNSS-20180905T035519.442Z.gpkg,0,Control-49
6,2,GPS,37.6,0,102,69,TORGI-GNSS-20180905T035519.442Z.gpkg,0,Control-49
7,6,GPS,36.4,0,46,31,TORGI-GNSS-20180905T035519.442Z.gpkg,0,Control-49
8,12,GPS,35.7,0,16,66,TORGI-GNSS-20180905T035519.442Z.gpkg,0,Control-49
9,19,GPS,26.7,0,52,16,TORGI-GNSS-20180905T035519.442Z.gpkg,0,Control-49
10,24,GPS,39.9,0,195,49,TORGI-GNSS-20180905T035519.442Z.gpkg,0,Control-49
11,25,GPS,28.9,0,314,36,TORGI-GNSS-20180905T035519.442Z.gpkg,0,Control-49
12,29,GPS,25.7,0,255,25,TORGI-GNSS-20180905T035519.442Z.gpkg,0,Control-49
13,32,GPS,27.9,0,291,4,TORGI-GNSS-20180905T035519.442Z.gpkg,0,Control-49
14,13,Beidou,37,0,45,49,TORGI-GNSS-20180905T035519.442Z.gpkg,0,Control-49
15,10,Glonass,40.5,-2.29,327,18,TORGI-GNSS-20180905T035519.442Z.gpkg,0,Control-49
16,9,Glonass,30.9,-2.29,338,70,TORGI-GNSS-20180905T035519.442Z.gpkg,0,Control-49
17,16,Glonass,27,-2.29,140,45,TORGI-GNSS-20180905T035519.442Z.gpkg,0,Control-49
18,20,Glonass,21.1,-2.29,234,42,TORGI-GNSS-20180905T035519.442Z.gpkg,0,Control-49
19,19,Glonass,31.4,-2.29,357,66,TORGI-GNSS-20180905T035519.442Z.gpkg,0,Control-49
20,2,GPS,36.4,-0.14,102,69,TORGI-GNSS-20180905T035519.442Z.gpkg,0,Control-49
