id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileId
1,7,Glonass,30.6,0,314,14,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
2,3,GPS,38.3,0,133,61,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
3,6,GPS,23.6,0,291,28,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
4,7,GPS,34.3,0,224,37,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
5,9,GPS,39.4,0,312,52,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
6,16,GPS,34.7,0,82,31,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
7,23,GPS,34.7,0,8,63,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
8,16,Glonass,28.4,-4.34,106,75,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
9,15,Glonass,24.9,-4.34,29,20,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
10,5,Glonass,26.4,-4.34,92,39,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
11,7,Glonass,29.1,-4.34,314,14,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
12,3,GPS,38.1,0.7,133,61,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
13,6,GPS,37.1,0.7,291,28,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
14,7,GPS,34.6,0.7,224,37,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
15,9,GPS,42,0.7,312,52,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
16,16,GPS,37.4,0.7,82,31,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
17,22,GPS,28,0.7,139,37,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
18,23,GPS,40.1,0.7,8,63,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
19,26,GPS,29.5,0.7,53,20,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
20,9,Glonass,18.1,-4.56,192,28,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
21,16,Glonass,28.1,-4.56,106,75,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
22,15,Glonass,25.9,-4.56,29,20,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
23,5,Glonass,30.4,-4.56,92,39,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
24,7,Glonass,28.7,-4.56,314,14,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
25,3,GPS,38.4,0.01,133,61,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
26,6,GPS,38.9,0.01,291,28,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
27,7,GPS,37,0.01,224,37,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
28,9,GPS,43.6,0.01,312,52,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
29,16,GPS,37.4,0.01,82,31,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
30,22,GPS,23.8,0.01,139,37,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
31,23,GPS,40.4,0.01,8,63,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
32,26,GPS,28.6,0.01,53,20,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
33,9,Glonass,19.9,-4.7,192,28,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
34,16,Glonass,29.5,-4.7,106,75,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
35,15,Glonass,26.4,-4.7,29,20,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
36,5,Glonass,28.7,-4.7,92,39,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
37,7,Glonass,25.3,-4.7,314,14,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
38,3,GPS,38.1,0.01,133,61,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
39,6,GPS,39.4,0.01,291,28,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
40,7,GPS,35.9,0.01,224,37,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
41,9,GPS,42.4,0.01,312,52,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
42,16,GPS,39.8,0.01,82,31,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
43,22,GPS,31.4,0.01,139,37,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
44,23,GPS,37.2,0.01,8,63,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
45,26,GPS,24.5,0.01,53,20,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
46,9,Glonass,24.3,-4.46,192,28,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
47,16,Glonass,30.8,-4.46,106,75,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
48,15,Glonass,22.1,-4.46,29,20,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
49,5,Glonass,35.3,-4.46,92,39,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
50,7,Glonass,21.5,-4.46,314,14,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
51,3,GPS,39.7,0.01,133,61,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
52,6,GPS,36.5,0.01,291,28,TORGI-GNSS-20180908T173807.964Z.gpkg,0,Control-3
