id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24
1,10,Glonass,23.1,5.94,265,16,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24,,,
2,18,Glonass,27.1,5.94,106,2,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24,,,
3,9,Glonass,26.4,5.94,219,4,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24,,,
4,11,Glonass,28.9,5.94,317,9,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24,,,
5,5,Glonass,31.7,5.94,150,60,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24,,,
6,20,Glonass,34.5,5.94,345,46,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24,,,
7,21,Glonass,26.2,5.94,306,5,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24,,,
8,4,Glonass,32.7,5.94,47,47,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24,,,
9,10,GPS,43.4,-3.15,213,51,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24,,,
10,13,GPS,26.7,-3.15,45,7,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24,,,
11,15,GPS,37.5,-3.15,78,28,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24,,,
12,16,GPS,37.9,-3.15,282,42,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24,,,
13,20,GPS,33.3,-3.15,213,81,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24,,,
14,21,GPS,25,-3.15,22,61,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24,,,
15,26,GPS,41.8,-3.15,241,42,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24,,,
16,27,GPS,31.5,-3.15,314,22,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24,,,
17,29,GPS,30.9,-3.15,120,30,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24,,,
18,32,GPS,26.3,-3.15,0,0,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24,,,
19,10,Glonass,28.3,5.94,265,16,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24,,,
20,9,Glonass,34.8,5.94,219,4,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24,,,
21,11,Glonass,31.4,5.94,317,9,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24,,,
22,5,Glonass,37.5,5.94,150,60,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24,,,
23,20,Glonass,37.6,5.94,345,46,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24,,,
24,19,Glonass,34,5.94,74,40,TORGI-GNSS-20180911T085410.772Z.gpkg,0,Control-24,,,
