id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID
1,14,Glonass,17.2,-1.47,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
2,2,Glonass,18.2,-1.47,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
3,15,Glonass,28.8,-1.47,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
4,4,Glonass,17,-1.47,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
5,1,GPS,31.5,0.56,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
6,3,GPS,21.7,0.56,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
7,6,GPS,20.8,0.56,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
8,7,GPS,37.1,0.56,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
9,9,GPS,20.4,0.56,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
10,16,GPS,18.5,0.56,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
11,22,GPS,18.2,0.56,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
12,23,GPS,18.7,0.56,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
13,26,GPS,18,0.56,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
14,14,Glonass,18.2,-0.76,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
15,2,Glonass,20,-0.76,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
16,15,Glonass,24.8,-0.76,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
17,4,Glonass,16.3,-0.76,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
18,1,GPS,25,0.8,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
19,3,GPS,21.9,0.8,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
20,6,GPS,18.5,0.8,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
21,7,GPS,34.2,0.8,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
22,9,GPS,23.8,0.8,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
23,16,GPS,18.5,0.8,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
24,22,GPS,19.3,0.8,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
25,23,GPS,18,0.8,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
26,26,GPS,19.8,0.8,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
27,14,Glonass,20.3,-0.9,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
28,2,Glonass,17.5,-0.9,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
29,15,Glonass,23,-0.9,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
30,5,Glonass,15.9,-0.9,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
31,4,Glonass,15.6,-0.9,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
32,1,GPS,28.9,0.75,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
33,3,GPS,18.8,0.75,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
34,6,GPS,18.1,0.75,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
35,7,GPS,35.1,0.75,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
36,9,GPS,19,0.75,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
37,16,GPS,18.7,0.75,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
38,22,GPS,22.8,0.75,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
39,23,GPS,18.1,0.75,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
40,26,GPS,21.7,0.75,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
41,14,Glonass,22,-1.21,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
42,2,Glonass,17.9,-1.21,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
43,15,Glonass,24,-1.21,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
44,5,Glonass,15.9,-1.21,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
45,4,Glonass,15.6,-1.21,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
46,1,GPS,33.9,0.18,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
47,3,GPS,21.6,0.18,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
48,6,GPS,17.1,0.18,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
49,7,GPS,28.6,0.18,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
50,9,GPS,19.5,0.18,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
51,16,GPS,18.4,0.18,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
52,22,GPS,17,0.18,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
53,23,GPS,17.4,0.18,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
54,26,GPS,17.3,0.18,0,0,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
55,14,Glonass,22.5,-1.73,139,68,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
56,2,Glonass,21.4,-1.73,111,2,TORGI-GNSS-20180906T172811.814Z.gpkg,0,Control-39
