id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID
1,10,Glonass,23.3,-2.05,0,0,TORGI-GNSS-20180907T045922.607Z.gpkg,0,Control-59
2,6,Glonass,18.8,-2.05,0,0,TORGI-GNSS-20180907T045922.607Z.gpkg,0,Control-59
3,22,Glonass,36,-2.05,0,0,TORGI-GNSS-20180907T045922.607Z.gpkg,0,Control-59
4,13,Glonass,16.3,-2.05,0,0,TORGI-GNSS-20180907T045922.607Z.gpkg,0,Control-59
5,12,Glonass,33.8,-2.05,0,0,TORGI-GNSS-20180907T045922.607Z.gpkg,0,Control-59
6,11,Glonass,33.8,-2.05,0,0,TORGI-GNSS-20180907T045922.607Z.gpkg,0,Control-59
7,5,Glonass,25.1,-2.05,0,0,TORGI-GNSS-20180907T045922.607Z.gpkg,0,Control-59
8,23,Glonass,34.3,-2.05,0,0,TORGI-GNSS-20180907T045922.607Z.gpkg,0,Control-59
9,21,Glonass,37.3,-2.05,0,0,TORGI-GNSS-20180907T045922.607Z.gpkg,0,Control-59
10,2,GPS,34.5,-0.97,0,0,TORGI-GNSS-20180907T045922.607Z.gpkg,0,Control-59
11,5,GPS,29.4,-0.97,0,0,TORGI-GNSS-20180907T045922.607Z.gpkg,0,Control-59
12,6,GPS,25.3,-0.97,0,0,TORGI-GNSS-20180907T045922.607Z.gpkg,0,Control-59
13,12,GPS,33.5,-0.97,0,0,TORGI-GNSS-20180907T045922.607Z.gpkg,0,Control-59
14,21,GPS,25.2,-0.97,0,0,TORGI-GNSS-20180907T045922.607Z.gpkg,0,Control-59
15,24,GPS,35.8,-0.97,182,17,TORGI-GNSS-20180907T045922.607Z.gpkg,0,Control-59
16,25,GPS,38.7,-0.97,334,68,TORGI-GNSS-20180907T045922.607Z.gpkg,0,Control-59
17,29,GPS,35.5,-0.97,291,45,TORGI-GNSS-20180907T045922.607Z.gpkg,0,Control-59
18,31,GPS,35.5,-0.97,314,17,TORGI-GNSS-20180907T045922.607Z.gpkg,0,Control-59
