id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID
1,10,Glonass,37.4,-0.68,347,78,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
2,9,Glonass,39.8,-0.68,143,44,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
3,11,Glonass,34.3,-0.68,327,22,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
4,20,Glonass,33.1,-0.68,358,64,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
5,21,Glonass,41.7,-0.68,241,44,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
6,2,GPS,39.1,-0.05,88,69,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
7,5,GPS,29.7,-0.05,139,11,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
8,6,GPS,34.5,-0.05,43,27,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
9,12,GPS,44.5,-0.05,29,68,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
10,24,GPS,42.6,-0.05,192,45,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
11,25,GPS,40.6,-0.05,317,40,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
12,29,GPS,40.2,-0.05,260,28,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
13,32,GPS,30.2,-0.05,286,3,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
14,10,Glonass,36.9,-0.68,347,78,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
15,9,Glonass,38.9,-0.68,143,44,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
16,11,Glonass,37.3,-0.68,327,22,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
17,20,Glonass,34.5,-0.68,358,64,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
18,21,Glonass,45.7,-0.68,241,44,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
19,2,GPS,44.6,-0.05,88,69,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
20,5,GPS,32.9,-0.05,139,11,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
21,6,GPS,40.1,-0.05,43,27,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
22,12,GPS,48.2,-0.05,29,68,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
23,24,GPS,44.8,-0.05,192,45,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
24,25,GPS,39.6,-0.05,317,40,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
25,29,GPS,41.3,-0.05,260,28,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
26,32,GPS,30.1,-0.05,286,3,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
27,10,Glonass,39,-0.68,347,78,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
28,9,Glonass,38.8,-0.68,143,44,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
29,11,Glonass,37.6,-0.68,327,22,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
30,20,Glonass,34.8,-0.68,358,64,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
31,21,Glonass,47.9,-0.68,241,44,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
32,2,GPS,45.6,-0.05,88,69,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
33,5,GPS,32.2,-0.05,139,11,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
34,6,GPS,38.1,-0.05,43,27,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
35,12,GPS,47.3,-0.05,29,68,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
36,24,GPS,44.6,-0.05,192,45,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
37,25,GPS,38.3,-0.05,317,40,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
38,29,GPS,42.8,-0.05,260,28,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
39,32,GPS,31.6,-0.05,286,3,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
40,10,Glonass,38.5,-0.68,347,78,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
41,9,Glonass,39.1,-0.68,143,44,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
42,11,Glonass,38.4,-0.68,327,22,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
43,20,Glonass,35.5,-0.68,358,64,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
44,21,Glonass,48.5,-0.68,241,44,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
45,2,GPS,46.2,-0.05,88,69,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
46,5,GPS,33.5,-0.05,139,11,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
47,6,GPS,39.6,-0.05,43,27,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
48,12,GPS,48.8,-0.05,29,68,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
49,24,GPS,45.8,-0.05,192,45,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
50,25,GPS,36.5,-0.05,317,40,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
51,29,GPS,43.7,-0.05,260,28,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
52,32,GPS,33,-0.05,286,3,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
53,10,Glonass,39.8,-0.68,347,78,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
54,9,Glonass,40.5,-0.68,143,44,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
55,11,Glonass,38.7,-0.68,327,22,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
56,20,Glonass,36.5,-0.68,358,64,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
57,21,Glonass,48.5,-0.68,241,44,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
58,2,GPS,46.3,-0.05,88,69,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
59,5,GPS,31.9,-0.05,139,11,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
60,6,GPS,39.4,-0.05,43,27,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
61,12,GPS,47.7,-0.05,29,68,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
62,24,GPS,45.6,-0.05,192,45,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
63,25,GPS,38.4,-0.05,317,40,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
64,29,GPS,43,-0.05,260,28,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
65,32,GPS,30.6,-0.05,286,3,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
66,10,Glonass,38.9,-0.68,347,78,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
67,9,Glonass,39.8,-0.68,143,44,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
68,11,Glonass,37.2,-0.68,327,22,TORGI-GNSS-20180906T040156.020Z.gpkg,0,Control-40
