id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID
1,10,Glonass,37,-0.68,347,80,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
2,9,Glonass,33.6,-0.68,143,42,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
3,11,Glonass,29.6,-0.68,327,23,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
4,20,Glonass,33.9,-0.68,0,0,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
5,21,Glonass,45.9,-0.68,243,45,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
6,2,GPS,40.5,-0.05,87,69,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
7,6,GPS,33.2,-0.05,43,27,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
8,12,GPS,44.6,-0.05,30,68,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
9,19,GPS,32.9,-0.05,54,11,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
10,24,GPS,35.4,-0.05,192,45,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
11,25,GPS,32.4,-0.05,317,40,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
12,29,GPS,38.6,-0.05,261,28,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
13,10,Glonass,39.1,-0.68,347,80,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
14,9,Glonass,33.3,-0.68,143,42,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
15,11,Glonass,32.4,-0.68,327,23,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
16,20,Glonass,34.6,-0.68,0,0,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
17,19,Glonass,28.9,-0.68,35,11,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
18,21,Glonass,45.5,-0.68,243,45,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
19,2,GPS,40.9,-0.05,87,69,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
20,6,GPS,33.7,-0.05,43,27,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
21,12,GPS,46.2,-0.05,30,68,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
22,19,GPS,34.8,-0.05,54,11,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
23,24,GPS,35.8,-0.05,192,45,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
24,25,GPS,35.3,-0.05,317,40,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
25,29,GPS,37,-0.05,261,28,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
26,32,GPS,29.7,-0.05,286,3,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
27,10,Glonass,38.2,-0.68,347,80,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
28,9,Glonass,32.5,-0.68,143,42,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
29,11,Glonass,29,-0.68,327,23,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
30,20,Glonass,34.7,-0.68,0,0,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
31,21,Glonass,45.5,-0.68,243,45,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
32,2,GPS,40.6,-0.05,87,69,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
33,5,GPS,25.6,-0.05,139,11,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
34,6,GPS,31.7,-0.05,43,27,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
35,12,GPS,45.9,-0.05,30,68,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
36,19,GPS,29.2,-0.05,54,11,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
37,24,GPS,32.3,-0.05,192,45,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
38,25,GPS,30.9,-0.05,317,40,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
39,29,GPS,34.8,-0.05,261,28,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
40,32,GPS,29.1,-0.05,286,3,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
41,10,Glonass,38.5,-0.68,347,80,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
42,9,Glonass,32.9,-0.68,143,42,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
43,11,Glonass,35.3,-0.68,327,23,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
44,20,Glonass,34.2,-0.68,0,0,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
45,21,Glonass,46.8,-0.68,243,45,TORGI-GNSS-20180906T040357.309Z.gpkg,0,Control-65
