id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUSq,fileID
4241,1,Galileo,24.7,-0.46,180,60,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4242,12,Galileo,20.8,-0.46,247,18,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4243,24,Galileo,19.5,-0.46,323,5,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4244,26,Galileo,15.2,-0.46,37,46,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4245,18,Glonass,19.1,-0.43,350,54,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4246,9,Glonass,21.3,-0.43,327,21,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4247,15,Glonass,27.8,-0.43,172,26,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4248,19,Glonass,18,-0.43,272,35,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4249,17,Glonass,17.5,-0.43,42,21,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4250,3,Glonass,24,-0.43,116,11,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4251,2,GPS,20.1,-0.44,43,33,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4252,5,GPS,22.2,-0.44,94,37,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4253,12,GPS,32.7,-0.44,127,43,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4254,21,GPS,32,-0.44,227,25,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4255,24,GPS,19.9,-0.44,175,2,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4256,25,GPS,15.6,-0.44,54,87,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4257,29,GPS,18.4,-0.44,319,54,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4258,31,GPS,20.8,-0.44,298,25,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4259,5,Beidou,27,-0.15,149,47,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4260,8,Beidou,16.7,-0.15,46,10,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4261,13,Beidou,12.5,-0.15,43,35,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4262,16,Beidou,17,-0.15,102,2,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4263,1,Galileo,25.7,-0.4,180,60,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4264,12,Galileo,22.3,-0.4,247,18,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4265,24,Galileo,19.9,-0.4,323,5,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4266,26,Galileo,13.1,-0.4,37,46,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4267,18,Glonass,22,-0.48,350,54,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4268,9,Glonass,19.5,-0.48,327,21,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4269,15,Glonass,28.3,-0.48,172,26,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4270,19,Glonass,17.5,-0.48,272,35,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4271,17,Glonass,16.2,-0.48,42,21,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4272,3,Glonass,22,-0.48,116,11,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4273,2,GPS,18.5,-0.48,43,33,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4274,5,GPS,20.5,-0.48,94,37,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4275,12,GPS,33.2,-0.48,127,43,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4276,21,GPS,31.6,-0.48,227,25,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4277,24,GPS,24.5,-0.48,175,2,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4278,25,GPS,15.6,-0.48,54,87,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4279,29,GPS,18.9,-0.48,319,54,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4280,31,GPS,22,-0.48,298,25,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4281,5,Beidou,25.9,-0.13,149,47,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4282,8,Beidou,16.7,-0.13,46,10,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4283,13,Beidou,12.5,-0.13,43,35,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4284,16,Beidou,17,-0.13,102,2,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4285,1,Galileo,25.2,-0.46,180,60,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4286,12,Galileo,22.5,-0.46,247,18,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4287,24,Galileo,19.9,-0.46,323,5,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4288,26,Galileo,13.1,-0.46,37,46,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4289,18,Glonass,21.2,-0.57,350,54,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4290,9,Glonass,21.1,-0.57,327,21,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
