id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID
1,14,Glonass,32.1,3.14,98,51,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
2,5,Glonass,27.5,3.14,309,26,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
3,19,Glonass,24.8,3.14,230,25,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
4,3,Glonass,33,3.14,75,22,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
5,4,Glonass,32.9,3.14,12,51,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
6,1,GPS,24.9,0.42,198,49,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
7,3,GPS,42.2,0.42,351,68,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
8,9,GPS,26.7,0.42,265,26,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
9,11,GPS,27.7,0.42,199,22,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
10,18,GPS,31.4,0.42,175,26,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
11,22,GPS,36.9,0.42,74,73,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
12,23,GPS,34.7,0.42,285,53,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
13,26,GPS,34.2,0.42,97,17,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
14,31,GPS,32.1,0.42,43,26,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
15,14,Glonass,30.1,3.14,98,51,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
16,5,Glonass,28.3,3.14,309,26,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
17,20,Glonass,22.6,3.14,295,28,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
18,19,Glonass,27.7,3.14,230,25,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
19,3,Glonass,29.8,3.14,75,22,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
20,4,Glonass,35,3.14,12,51,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
21,1,GPS,29.7,0.42,198,49,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
22,3,GPS,43.6,0.42,351,68,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
23,9,GPS,36.1,0.42,265,26,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
24,11,GPS,28.5,0.42,199,22,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
25,16,GPS,25.4,0.42,125,9,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
26,18,GPS,31.2,0.42,175,26,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
27,22,GPS,38.9,0.42,74,73,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
28,23,GPS,38.3,0.42,285,53,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
29,26,GPS,33.5,0.42,97,17,TORGI-GNSS-20180907T160930.857Z.gpkg,0,Control-79
