id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID
1,14,Glonass,35.7,6.5,49,30,TORGI-GNSS-20180908T153934.098Z.gpkg,0,Control-57
2,15,Glonass,29.7,6.5,101,45,TORGI-GNSS-20180908T153934.098Z.gpkg,0,Control-57
3,5,Glonass,31.3,6.5,355,49,TORGI-GNSS-20180908T153934.098Z.gpkg,0,Control-57
4,21,Glonass,34.3,6.5,310,25,TORGI-GNSS-20180908T153934.098Z.gpkg,0,Control-57
5,4,Glonass,32.6,6.5,61,29,TORGI-GNSS-20180908T153934.098Z.gpkg,0,Control-57
6,3,GPS,31.9,-0.32,333,59,TORGI-GNSS-20180908T153934.098Z.gpkg,0,Control-57
7,9,GPS,26.8,-0.32,255,19,TORGI-GNSS-20180908T153934.098Z.gpkg,0,Control-57
8,14,GPS,29,-0.32,52,18,TORGI-GNSS-20180908T153934.098Z.gpkg,0,Control-57
9,22,GPS,27.5,-0.32,29,73,TORGI-GNSS-20180908T153934.098Z.gpkg,0,Control-57
10,23,GPS,32.9,-0.32,270,46,TORGI-GNSS-20180908T153934.098Z.gpkg,0,Control-57
11,26,GPS,25,-0.32,108,11,TORGI-GNSS-20180908T153934.098Z.gpkg,0,Control-57
12,31,GPS,35.2,-0.32,52,35,TORGI-GNSS-20180908T153934.098Z.gpkg,0,Control-57
13,16,Glonass,24.7,6.5,167,14,TORGI-GNSS-20180908T153934.098Z.gpkg,0,Control-57
14,15,Glonass,31.5,6.5,101,45,TORGI-GNSS-20180908T153934.098Z.gpkg,0,Control-57
15,5,Glonass,26.2,6.5,355,49,TORGI-GNSS-20180908T153934.098Z.gpkg,0,Control-57
16,20,Glonass,25.8,6.5,246,36,TORGI-GNSS-20180908T153934.098Z.gpkg,0,Control-57
17,21,Glonass,29.9,6.5,310,25,TORGI-GNSS-20180908T153934.098Z.gpkg,0,Control-57
18,4,Glonass,26.4,6.5,61,29,TORGI-GNSS-20180908T153934.098Z.gpkg,0,Control-57
19,9,GPS,27.8,-0.32,255,19,TORGI-GNSS-20180908T153934.098Z.gpkg,0,Control-57
20,17,GPS,23.2,-0.32,289,9,TORGI-GNSS-20180908T153934.098Z.gpkg,0,Control-57
21,18,GPS,27.3,-0.32,177,38,TORGI-GNSS-20180908T153934.098Z.gpkg,0,Control-57
22,22,GPS,25.5,-0.32,29,73,TORGI-GNSS-20180908T153934.098Z.gpkg,0,Control-57
23,23,GPS,34.5,-0.32,270,46,TORGI-GNSS-20180908T153934.098Z.gpkg,0,Control-57
24,26,GPS,24.2,-0.32,108,11,TORGI-GNSS-20180908T153934.098Z.gpkg,0,Control-57
