id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID
1,10,Glonass,22.1,0,198,7,TORGI-GNSS-20180905T080303.794Z.gpkg,0,Control-44
2,22,Glonass,25.4,0,302,20,TORGI-GNSS-20180905T080303.794Z.gpkg,0,Control-44
3,12,Glonass,24.2,0,302,26,TORGI-GNSS-20180905T080303.794Z.gpkg,0,Control-44
4,11,Glonass,40.9,0,248,31,TORGI-GNSS-20180905T080303.794Z.gpkg,0,Control-44
5,5,Glonass,33.8,0,42,28,TORGI-GNSS-20180905T080303.794Z.gpkg,0,Control-44
6,21,Glonass,27,0,5,49,TORGI-GNSS-20180905T080303.794Z.gpkg,0,Control-44
7,7,Glonass,24.8,0,168,18,TORGI-GNSS-20180905T080303.794Z.gpkg,0,Control-44
8,5,GPS,29.7,0,39,11,TORGI-GNSS-20180905T080303.794Z.gpkg,0,Control-44
9,10,GPS,32,0,202,17,TORGI-GNSS-20180905T080303.794Z.gpkg,0,Control-44
10,13,GPS,22.5,0,75,7,TORGI-GNSS-20180905T080303.794Z.gpkg,0,Control-44
11,15,GPS,37.4,0,113,18,TORGI-GNSS-20180905T080303.794Z.gpkg,0,Control-44
12,16,GPS,22.9,0,316,23,TORGI-GNSS-20180905T080303.794Z.gpkg,0,Control-44
13,20,GPS,32,0,198,45,TORGI-GNSS-20180905T080303.794Z.gpkg,0,Control-44
14,21,GPS,27.2,0,307,63,TORGI-GNSS-20180905T080303.794Z.gpkg,0,Control-44
15,25,GPS,27.5,0,168,24,TORGI-GNSS-20180905T080303.794Z.gpkg,0,Control-44
16,26,GPS,30.6,0,293,45,TORGI-GNSS-20180905T080303.794Z.gpkg,0,Control-44
17,29,GPS,29.8,0,80,54,TORGI-GNSS-20180905T080303.794Z.gpkg,0,Control-44
18,31,GPS,37.5,0,240,7,TORGI-GNSS-20180905T080303.794Z.gpkg,0,Control-44
19,10,Glonass,19.2,-1.08,198,7,TORGI-GNSS-20180905T080303.794Z.gpkg,0,Control-44
