id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID
1,14,Glonass,34.2,6.5,47,29,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
2,15,Glonass,35.5,6.5,97,45,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
3,5,Glonass,37,6.5,357,49,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
4,21,Glonass,27.4,6.5,309,26,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
5,4,Glonass,35.4,6.5,63,28,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
6,1,GPS,34.6,-0.32,206,59,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
7,3,GPS,38.5,-0.32,336,60,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
8,9,GPS,28.9,-0.32,257,20,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
9,14,GPS,29.9,-0.32,53,16,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
10,17,GPS,26.5,-0.32,288,9,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
11,18,GPS,38.8,-0.32,177,37,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
12,22,GPS,36.4,-0.32,35,73,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
13,23,GPS,30.9,-0.32,271,47,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
14,26,GPS,33.3,-0.32,106,12,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
15,31,GPS,43.1,-0.32,50,34,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
16,14,Glonass,32.5,6.5,47,29,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
17,15,Glonass,35.5,6.5,97,45,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
18,5,Glonass,35.3,6.5,357,49,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
19,21,Glonass,28.2,6.5,309,26,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
20,4,Glonass,29.4,6.5,63,28,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
21,1,GPS,36.7,-0.32,206,59,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
22,3,GPS,42.8,-0.32,336,60,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
23,9,GPS,29.1,-0.32,257,20,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
24,11,GPS,30.1,-0.32,205,30,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
25,14,GPS,33.6,-0.32,53,16,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
26,17,GPS,25.9,-0.32,288,9,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
27,18,GPS,34,-0.32,177,37,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
28,22,GPS,38.9,-0.32,35,73,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
29,23,GPS,32.6,-0.32,271,47,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
30,26,GPS,33.3,-0.32,106,12,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
31,31,GPS,42.2,-0.32,50,34,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
32,14,Glonass,28.8,6.5,47,29,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
33,16,Glonass,28.2,6.5,167,15,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
34,15,Glonass,34.2,6.5,97,45,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
35,5,Glonass,25.8,6.5,357,49,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
36,20,Glonass,29.5,6.5,244,35,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
37,4,Glonass,29.3,6.5,63,28,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
38,1,GPS,36.1,-0.32,206,59,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
39,3,GPS,38.5,-0.32,336,60,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
40,9,GPS,34.4,-0.32,257,20,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
41,11,GPS,24,-0.32,205,30,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
42,14,GPS,32.7,-0.32,53,16,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
43,17,GPS,26.5,-0.32,288,9,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
44,18,GPS,35.1,-0.32,177,37,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
45,22,GPS,35.9,-0.32,35,73,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
46,23,GPS,37.1,-0.32,271,47,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
47,31,GPS,35.4,-0.32,50,34,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
48,14,Glonass,28.4,6.5,47,29,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
49,16,Glonass,25.5,6.5,167,15,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
50,15,Glonass,35.1,6.5,97,45,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
51,5,Glonass,27,6.5,357,49,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
52,20,Glonass,28.3,6.5,244,35,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
53,4,Glonass,24.6,6.5,63,28,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
54,1,GPS,38.2,-0.32,206,59,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
55,3,GPS,39.7,-0.32,336,60,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
56,9,GPS,34.5,-0.32,257,20,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
57,11,GPS,27.6,-0.32,205,30,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
58,17,GPS,26.1,-0.32,288,9,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
59,18,GPS,33.2,-0.32,177,37,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
60,22,GPS,37.5,-0.32,35,73,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
61,23,GPS,36.5,-0.32,271,47,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
62,26,GPS,23.1,-0.32,106,12,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
63,31,GPS,29.3,-0.32,50,34,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
64,14,Glonass,25.5,6.5,47,29,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
65,16,Glonass,27.2,6.5,167,15,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
66,15,Glonass,35.5,6.5,97,45,TORGI-GNSS-20180908T154238.129Z.gpkg,0,Control-66
