id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID
1,12,Glonass,36.9,-0.99,150,59,TORGI-GNSS-20180904T171244.998Z.gpkg,0,Control-23
2,11,Glonass,28.9,-0.99,53,50,TORGI-GNSS-20180904T171244.998Z.gpkg,0,Control-23
3,1,Glonass,32.4,-0.99,68,45,TORGI-GNSS-20180904T171244.998Z.gpkg,0,Control-23
4,17,Glonass,31.5,-0.99,267,17,TORGI-GNSS-20180904T171244.998Z.gpkg,0,Control-23
5,1,GPS,35,0.59,191,26,TORGI-GNSS-20180904T171244.998Z.gpkg,0,Control-23
6,3,GPS,38.4,0.59,84,78,TORGI-GNSS-20180904T171244.998Z.gpkg,0,Control-23
7,6,GPS,35.3,0.59,310,20,TORGI-GNSS-20180904T171244.998Z.gpkg,0,Control-23
8,7,GPS,40.8,0.59,216,19,TORGI-GNSS-20180904T171244.998Z.gpkg,0,Control-23
9,9,GPS,34.6,0.59,289,40,TORGI-GNSS-20180904T171244.998Z.gpkg,0,Control-23
10,16,GPS,36.9,0.59,105,25,TORGI-GNSS-20180904T171244.998Z.gpkg,0,Control-23
11,22,GPS,35.4,0.59,125,57,TORGI-GNSS-20180904T171244.998Z.gpkg,0,Control-23
12,23,GPS,34.4,0.59,326,61,TORGI-GNSS-20180904T171244.998Z.gpkg,0,Control-23
13,26,GPS,36.8,0.59,73,24,TORGI-GNSS-20180904T171244.998Z.gpkg,0,Control-23
14,31,GPS,29.5,0.59,40,7,TORGI-GNSS-20180904T171244.998Z.gpkg,0,Control-23
15,10,Glonass,22.9,-0.99,23,4,TORGI-GNSS-20180904T171244.998Z.gpkg,0,Control-23
16,2,Glonass,24.1,-0.99,334,41,TORGI-GNSS-20180904T171244.998Z.gpkg,0,Control-23
17,18,Glonass,34.9,-0.99,316,11,TORGI-GNSS-20180904T171244.998Z.gpkg,0,Control-23
18,12,Glonass,35.4,-0.99,150,59,TORGI-GNSS-20180904T171244.998Z.gpkg,0,Control-23
