id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID
1,10,Glonass,33.5,-0.27,298,26,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
2,18,Glonass,30.4,-0.27,80,17,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
3,9,Glonass,31.8,-0.27,240,26,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
4,5,Glonass,33.8,-0.27,164,26,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
5,20,Glonass,30,-0.27,312,29,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
6,19,Glonass,31.1,-0.27,28,47,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
7,3,Glonass,32,-0.27,36,23,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
8,4,Glonass,34.6,-0.27,101,52,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
9,5,GPS,27.3,1.23,37,4,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
10,10,GPS,35.8,1.23,202,24,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
11,13,GPS,28.4,1.23,68,8,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
12,15,GPS,37.5,1.23,106,21,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
13,16,GPS,36,1.23,312,30,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
14,20,GPS,35.9,1.23,198,52,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
15,21,GPS,35.7,1.23,326,66,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
16,25,GPS,38.8,1.23,167,16,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
17,26,GPS,33.2,1.23,282,48,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
18,27,GPS,28.4,1.23,305,1,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
19,29,GPS,34,1.23,91,49,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
20,31,GPS,28.5,1.23,234,3,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
21,3,Beidou,20.9,1.3,101,7,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
22,5,Beidou,26.2,1.3,149,47,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
23,8,Beidou,17.9,1.3,77,2,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
24,9,Beidou,32.8,1.3,105,31,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
25,13,Beidou,29.6,1.3,67,25,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
26,16,Beidou,31.1,1.3,81,32,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
27,10,Glonass,26.9,-0.19,298,26,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
28,18,Glonass,27.4,-0.19,80,17,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
29,9,Glonass,28.3,-0.19,240,26,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
30,5,Glonass,34.2,-0.19,164,26,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
31,20,Glonass,30.4,-0.19,312,29,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
32,19,Glonass,25,-0.19,28,47,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
33,3,Glonass,31.7,-0.19,36,23,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
34,4,Glonass,33.8,-0.19,101,52,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
35,5,GPS,20.5,1.18,37,4,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
36,10,GPS,32,1.18,202,24,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
37,13,GPS,26.6,1.18,68,8,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
38,15,GPS,38,1.18,106,21,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
39,16,GPS,37.3,1.18,312,30,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
40,20,GPS,35.9,1.18,198,52,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
41,21,GPS,36.5,1.18,326,66,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
42,25,GPS,35.6,1.18,167,16,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
43,26,GPS,38.9,1.18,282,48,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
44,27,GPS,24.5,1.18,305,1,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
45,29,GPS,38,1.18,91,49,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
46,31,GPS,25.7,1.18,234,3,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
47,3,Beidou,19.8,1.46,101,7,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
48,5,Beidou,29.9,1.46,149,47,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
49,8,Beidou,16.5,1.46,77,2,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
50,9,Beidou,30.8,1.46,105,31,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
51,13,Beidou,21.5,1.46,67,25,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
52,16,Beidou,27.6,1.46,81,32,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
53,10,Glonass,31,-0.31,298,26,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
54,18,Glonass,28.2,-0.31,80,17,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
55,9,Glonass,31.2,-0.31,240,26,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
56,5,Glonass,34.7,-0.31,164,26,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
57,20,Glonass,28,-0.31,312,29,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
58,19,Glonass,31,-0.31,28,47,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
59,3,Glonass,33.9,-0.31,36,23,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
60,4,Glonass,37.1,-0.31,101,52,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
61,5,GPS,30,1.18,37,4,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
62,10,GPS,33.4,1.18,202,24,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
63,13,GPS,29,1.18,68,8,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
64,15,GPS,36.2,1.18,106,21,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
65,16,GPS,35.1,1.18,312,30,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
66,20,GPS,36,1.18,198,52,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
67,21,GPS,35.6,1.18,326,66,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
68,25,GPS,33.9,1.18,167,16,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
69,26,GPS,34.2,1.18,282,48,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
70,27,GPS,26.4,1.18,305,1,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
71,29,GPS,41.3,1.18,91,49,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
72,31,GPS,31.5,1.18,234,3,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
73,3,Beidou,20.1,1.44,101,7,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
74,5,Beidou,32.7,1.44,149,47,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
75,8,Beidou,15.4,1.44,77,2,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
76,9,Beidou,27.5,1.44,105,31,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
77,13,Beidou,26.2,1.44,67,25,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
78,16,Beidou,29.2,1.44,81,32,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
79,18,Galileo,34.6,1.36,0,0,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
80,10,Glonass,35.4,0.03,298,26,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
81,18,Glonass,30.9,0.03,80,17,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
82,9,Glonass,36.2,0.03,240,26,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
83,5,Glonass,33.7,0.03,164,26,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
84,20,Glonass,28.3,0.03,312,29,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
85,19,Glonass,28.8,0.03,28,47,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
86,3,Glonass,31.8,0.03,36,23,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
87,4,Glonass,34.5,0.03,101,52,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
88,5,GPS,34.2,1.31,37,4,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
89,10,GPS,34.8,1.31,202,24,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
90,13,GPS,29.7,1.31,68,8,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
91,15,GPS,31.9,1.31,106,21,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
92,16,GPS,34.4,1.31,312,30,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
93,20,GPS,42.1,1.31,198,52,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
94,21,GPS,34.1,1.31,326,66,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
95,25,GPS,36.4,1.31,167,16,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
96,26,GPS,36.6,1.31,282,48,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
97,27,GPS,26.8,1.31,305,1,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
98,29,GPS,38.7,1.31,91,49,TORGI-GNSS-20180911T075443.332Z.gpkg,0,Control-7
