id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID
1,14,Glonass,22.5,-1.73,139,68,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
2,2,Glonass,21.4,-1.73,111,2,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
3,13,Glonass,13.2,-1.73,39,41,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
4,15,Glonass,25.2,-1.73,185,32,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
5,5,Glonass,15,-1.73,310,9,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
6,3,Glonass,20.8,-1.73,78,44,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
7,4,Glonass,15.5,-1.73,347,49,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
8,1,GPS,33.3,-0.37,185,15,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
9,3,GPS,23.3,-0.37,120,68,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
10,6,GPS,22.3,-0.37,300,26,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
11,7,GPS,23.2,-0.37,219,30,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
12,9,GPS,27.6,-0.37,302,47,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
13,16,GPS,24.9,-0.37,92,29,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
14,22,GPS,18.1,-0.37,133,45,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
15,23,GPS,16.9,-0.37,351,63,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
16,26,GPS,17.5,-0.37,61,23,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
17,30,GPS,22.6,-0.37,0,0,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
18,14,Glonass,20.5,-1.39,139,68,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
19,2,Glonass,21.6,-1.39,111,2,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
20,13,Glonass,13.2,-1.39,39,41,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
21,15,Glonass,25.4,-1.39,185,32,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
22,5,Glonass,15,-1.39,310,9,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
23,3,Glonass,23,-1.39,78,44,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
24,4,Glonass,18.4,-1.39,347,49,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
25,1,GPS,32.7,0.27,185,15,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
26,3,GPS,24.3,0.27,120,68,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
27,6,GPS,22.6,0.27,300,26,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
28,7,GPS,31.5,0.27,219,30,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
29,9,GPS,26.6,0.27,302,47,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
30,16,GPS,25.2,0.27,92,29,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
31,22,GPS,23.3,0.27,133,45,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
32,23,GPS,21.3,0.27,351,63,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
33,26,GPS,15.8,0.27,61,23,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
34,30,GPS,23.6,0.27,0,0,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
35,14,Glonass,18.3,-1.23,139,68,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
36,2,Glonass,19.8,-1.23,111,2,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
37,13,Glonass,13.2,-1.23,39,41,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
38,15,Glonass,20.6,-1.23,185,32,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
39,5,Glonass,15,-1.23,310,9,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
40,3,Glonass,22.9,-1.23,78,44,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
41,4,Glonass,18.1,-1.23,347,49,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
42,1,GPS,35,0.85,185,15,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
43,3,GPS,22.7,0.85,120,68,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
44,6,GPS,20.9,0.85,300,26,TORGI-GNSS-20180906T172818.227Z.gpkg,0,Control-38
