id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID
1,10,Glonass,23.7,3.33,0,0,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
2,9,Glonass,26.3,3.33,0,0,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
3,23,Glonass,30.4,3.33,0,0,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
4,7,Glonass,33.9,3.33,0,0,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
5,1,GPS,30.1,-1.9,0,0,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
6,3,GPS,28.5,-1.9,0,0,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
7,6,GPS,26.5,-1.9,0,0,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
8,9,GPS,26.1,-1.9,0,0,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
9,11,GPS,29,-1.9,0,0,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
10,14,GPS,22,-1.9,0,0,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
11,16,GPS,20.8,-1.9,0,0,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
12,17,GPS,27.3,-1.9,0,0,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
13,18,GPS,25.3,-1.9,177,28,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
14,22,GPS,33.7,-1.9,70,73,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
15,23,GPS,31.2,-1.9,284,52,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
16,26,GPS,24.7,-1.9,98,16,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
17,31,GPS,34.9,-1.9,45,27,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
18,10,Glonass,35.4,2.75,164,23,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
19,22,Glonass,24.5,2.75,240,28,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
20,9,Glonass,28.5,2.75,106,49,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
21,16,Glonass,20.1,2.75,36,23,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
22,23,Glonass,35.8,2.75,305,24,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
23,7,Glonass,35.8,2.75,11,51,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
24,8,Glonass,29.1,2.75,307,26,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
25,1,GPS,31.7,-2.19,198,50,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
26,3,GPS,39.7,-2.19,350,68,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
27,6,GPS,27.2,-2.19,323,4,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
28,9,GPS,38.9,-2.19,264,26,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
29,11,GPS,30,-2.19,199,23,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
30,14,GPS,25.2,-2.19,57,10,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
31,17,GPS,35.1,-2.19,279,7,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
32,18,GPS,34.3,-2.19,177,28,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
33,19,GPS,19.8,-2.19,303,4,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
34,22,GPS,33.6,-2.19,70,73,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
35,23,GPS,36.9,-2.19,284,52,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
36,26,GPS,35.5,-2.19,98,16,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
37,31,GPS,32.2,-2.19,45,27,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
38,10,Glonass,24.9,4.25,164,23,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
39,22,Glonass,23,4.25,240,28,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
40,9,Glonass,35.9,4.25,106,49,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
41,16,Glonass,19.4,4.25,36,23,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
42,23,Glonass,34.8,4.25,305,24,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
43,7,Glonass,32,4.25,11,51,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
44,8,Glonass,25.5,4.25,307,26,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
45,1,GPS,23.8,-0.98,198,50,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
46,3,GPS,32.9,-0.98,350,68,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
47,6,GPS,25.4,-0.98,323,4,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
48,9,GPS,29.8,-0.98,264,26,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
49,11,GPS,25.9,-0.98,199,23,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
50,14,GPS,31.2,-0.98,57,10,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
51,17,GPS,24.4,-0.98,279,7,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
52,18,GPS,28.4,-0.98,177,28,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
53,19,GPS,19.3,-0.98,303,4,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
54,22,GPS,30.1,-0.98,70,73,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
55,23,GPS,35.4,-0.98,284,52,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
56,26,GPS,37.1,-0.98,98,16,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
57,31,GPS,34.3,-0.98,45,27,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
58,10,Glonass,26.2,3.85,164,23,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
59,6,Glonass,18.6,3.85,73,26,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
60,22,Glonass,17.8,3.85,240,28,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
61,9,Glonass,37.5,3.85,106,49,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
62,16,Glonass,19.1,3.85,36,23,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
63,23,Glonass,36,3.85,305,24,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
64,7,Glonass,30,3.85,11,51,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
65,8,Glonass,25.2,3.85,307,26,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
66,1,GPS,25.7,-1.4,198,50,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
67,3,GPS,31.4,-1.4,350,68,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
68,6,GPS,23.6,-1.4,323,4,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
69,9,GPS,29.9,-1.4,264,26,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
70,11,GPS,26.2,-1.4,199,23,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
71,14,GPS,31.4,-1.4,57,10,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
72,16,GPS,25,-1.4,126,9,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
73,17,GPS,24.6,-1.4,279,7,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
74,18,GPS,27.7,-1.4,177,28,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
75,19,GPS,18.9,-1.4,303,4,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
76,22,GPS,31.4,-1.4,70,73,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
77,23,GPS,35.2,-1.4,284,52,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
78,26,GPS,37.1,-1.4,98,16,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
79,31,GPS,34.6,-1.4,45,27,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
80,10,Glonass,27.5,4.26,164,23,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
81,6,Glonass,20.7,4.26,73,26,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
82,22,Glonass,24.1,4.26,240,28,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
83,9,Glonass,36.9,4.26,106,49,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
84,16,Glonass,17.9,4.26,36,23,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
85,23,Glonass,35.5,4.26,305,24,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
86,7,Glonass,32.1,4.26,11,51,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
87,8,Glonass,25.2,4.26,307,26,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
88,1,GPS,32.3,-1.15,198,50,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
89,3,GPS,32.7,-1.15,350,68,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
90,6,GPS,26.8,-1.15,323,4,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
91,9,GPS,27.6,-1.15,264,26,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
92,11,GPS,27.9,-1.15,199,23,TORGI-GNSS-20180910T155316.367Z.gpkg,0,Control-42
