id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileId
1,14,Glonass,31.5,-0.71,0,0,TORGI-GNSS-20180907T155555.982Z.gpkg,0,Control-2
2,13,Glonass,22,-0.71,0,0,TORGI-GNSS-20180907T155555.982Z.gpkg,0,Control-2
3,15,Glonass,20.4,-0.71,0,0,TORGI-GNSS-20180907T155555.982Z.gpkg,0,Control-2
4,5,Glonass,32,-0.71,0,0,TORGI-GNSS-20180907T155555.982Z.gpkg,0,Control-2
5,20,Glonass,25.2,-0.71,0,0,TORGI-GNSS-20180907T155555.982Z.gpkg,0,Control-2
6,19,Glonass,24.2,-0.71,234,30,TORGI-GNSS-20180907T155555.982Z.gpkg,0,Control-2
7,3,Glonass,29.7,-0.71,70,25,TORGI-GNSS-20180907T155555.982Z.gpkg,0,Control-2
8,4,Glonass,30.4,-0.71,2,50,TORGI-GNSS-20180907T155555.982Z.gpkg,0,Control-2
9,1,GPS,34.6,-1.74,202,54,TORGI-GNSS-20180907T155555.982Z.gpkg,0,Control-2
10,3,GPS,33.2,-1.74,341,64,TORGI-GNSS-20180907T155555.982Z.gpkg,0,Control-2
11,9,GPS,25.4,-1.74,261,23,TORGI-GNSS-20180907T155555.982Z.gpkg,0,Control-2
12,11,GPS,25.9,-1.74,202,26,TORGI-GNSS-20180907T155555.982Z.gpkg,0,Control-2
13,14,GPS,32.7,-1.74,56,13,TORGI-GNSS-20180907T155555.982Z.gpkg,0,Control-2
14,17,GPS,28.7,-1.74,284,8,TORGI-GNSS-20180907T155555.982Z.gpkg,0,Control-2
15,18,GPS,23.6,-1.74,177,32,TORGI-GNSS-20180907T155555.982Z.gpkg,0,Control-2
16,19,GPS,22.1,-1.74,307,4,TORGI-GNSS-20180907T155555.982Z.gpkg,0,Control-2
17,22,GPS,29.7,-1.74,53,74,TORGI-GNSS-20180907T155555.982Z.gpkg,0,Control-2
18,23,GPS,32.1,-1.74,277,50,TORGI-GNSS-20180907T155555.982Z.gpkg,0,Control-2
19,26,GPS,28,-1.74,102,14,TORGI-GNSS-20180907T155555.982Z.gpkg,0,Control-2
20,31,GPS,30.5,-1.74,46,30,TORGI-GNSS-20180907T155555.982Z.gpkg,0,Control-2
21,14,Glonass,32.1,1.64,108,47,TORGI-GNSS-20180907T155555.982Z.gpkg,0,Control-2
22,13,Glonass,20.1,1.64,43,28,TORGI-GNSS-20180907T155555.982Z.gpkg,0,Control-2
23,15,Glonass,17.9,1.64,157,27,TORGI-GNSS-20180907T155555.982Z.gpkg,0,Control-2
24,5,Glonass,33.2,1.64,303,23,TORGI-GNSS-20180907T155555.982Z.gpkg,0,Control-2
