id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID
1,2,Glonass,35.4,0,333,39,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
2,12,Glonass,29.9,0,153,59,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
3,11,Glonass,38.3,0,53,52,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
4,1,Glonass,27.6,0,66,47,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
5,3,GPS,28.9,0,73,79,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
6,6,GPS,29.7,0,312,18,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
7,7,GPS,34,0,216,18,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
8,9,GPS,32.3,0,289,37,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
9,16,GPS,34.5,0,106,26,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
10,22,GPS,26.8,0,123,59,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
11,23,GPS,36.6,0,323,59,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
12,31,GPS,28.5,0,40,8,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
13,2,Glonass,35.4,0.23,333,39,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
14,18,Glonass,25.8,0.23,317,9,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
15,12,Glonass,29.9,0.23,153,59,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
16,11,Glonass,38.3,0.23,53,52,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
17,1,Glonass,27.6,0.23,66,47,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
18,24,Glonass,26.4,0.23,223,5,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
19,1,GPS,25.8,0.5,192,27,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
20,3,GPS,37.6,0.5,73,79,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
21,6,GPS,31.7,0.5,312,18,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
22,7,GPS,36.2,0.5,216,18,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
23,9,GPS,35.7,0.5,289,37,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
24,16,GPS,27.5,0.5,106,26,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
25,22,GPS,26.8,0.5,123,59,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
26,23,GPS,32,0.5,323,59,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
27,31,GPS,32.3,0.5,40,8,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
28,10,Glonass,27.5,0.74,23,4,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
29,2,Glonass,34.4,0.74,333,39,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
30,18,Glonass,25.8,0.74,317,9,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
31,12,Glonass,29.9,0.74,153,59,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
32,11,Glonass,35.4,0.74,53,52,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
33,1,Glonass,27.6,0.74,66,47,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
34,24,Glonass,26.4,0.74,223,5,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
35,17,Glonass,28.6,0.74,270,16,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
36,1,GPS,35,0.06,192,27,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
37,3,GPS,40.1,0.06,73,79,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
38,6,GPS,36,0.06,312,18,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
39,7,GPS,35.5,0.06,216,18,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
40,9,GPS,37.8,0.06,289,37,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
41,16,GPS,33.9,0.06,106,26,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
42,22,GPS,38.7,0.06,123,59,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
43,23,GPS,36.5,0.06,323,59,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
44,26,GPS,26.9,0.06,74,25,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
45,31,GPS,34.5,0.06,40,8,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
46,10,Glonass,27.5,0.71,23,4,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
47,2,Glonass,32.7,0.71,333,39,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
48,18,Glonass,33.1,0.71,317,9,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
49,12,Glonass,35.9,0.71,153,59,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
50,11,Glonass,37.7,0.71,53,52,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
51,1,Glonass,35.6,0.71,66,47,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
52,24,Glonass,26.4,0.71,223,5,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
53,17,Glonass,28.6,0.71,270,16,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
54,1,GPS,41.8,0.35,192,27,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
55,3,GPS,35.4,0.35,73,79,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
56,6,GPS,36,0.35,312,18,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
57,7,GPS,32.1,0.35,216,18,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
58,9,GPS,34.6,0.35,289,37,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
59,16,GPS,32.3,0.35,106,26,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
60,22,GPS,37.9,0.35,123,59,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
61,23,GPS,37.6,0.35,323,59,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
62,26,GPS,38.9,0.35,74,25,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
63,31,GPS,34.4,0.35,40,8,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
64,10,Glonass,26.5,0.59,23,4,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
65,2,Glonass,33.8,0.59,333,39,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
66,18,Glonass,29.7,0.59,317,9,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
67,12,Glonass,34.9,0.59,153,59,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
68,11,Glonass,37.8,0.59,53,52,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
69,1,Glonass,33.5,0.59,66,47,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
70,24,Glonass,26.4,0.59,223,5,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
71,17,Glonass,31.8,0.59,270,16,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
72,1,GPS,42.5,0.42,192,27,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
73,3,GPS,29.2,0.42,73,79,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
74,6,GPS,34.5,0.42,312,18,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
75,7,GPS,33.7,0.42,216,18,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
76,9,GPS,35,0.42,289,37,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
77,11,GPS,27,0.42,189,6,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
78,16,GPS,35.2,0.42,106,26,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
79,22,GPS,37.4,0.42,123,59,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
80,23,GPS,40,0.42,323,59,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
81,26,GPS,37.5,0.42,74,25,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
82,31,GPS,27,0.42,40,8,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
83,10,Glonass,27.4,0.51,23,4,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
84,2,Glonass,33.9,0.51,333,39,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
85,18,Glonass,31.5,0.51,317,9,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
86,12,Glonass,35.2,0.51,153,59,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
87,11,Glonass,36.6,0.51,53,52,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
88,1,Glonass,32.4,0.51,66,47,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
89,24,Glonass,26.4,0.51,223,5,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
90,17,Glonass,27.7,0.51,270,16,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
91,1,GPS,42.4,0.06,192,27,TORGI-GNSS-20180904T170918.397Z.gpkg,0,Control-64
