id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID
1,10,Glonass,27.3,-0.68,0,0,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
2,9,Glonass,24.3,-0.68,0,0,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
3,11,Glonass,36.4,-0.68,0,0,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
4,19,Glonass,22.4,-0.68,0,0,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
5,21,Glonass,39.6,-0.68,0,0,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
6,2,GPS,36.8,-0.05,0,0,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
7,6,GPS,32.3,-0.05,0,0,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
8,12,GPS,27.1,-0.05,0,0,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
9,19,GPS,25.4,-0.05,0,0,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
10,24,GPS,37.2,-0.05,0,0,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
11,25,GPS,33,-0.05,0,0,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
12,29,GPS,31.6,-0.05,0,0,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
13,32,GPS,24.2,-0.05,0,0,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
14,10,Glonass,29.8,-0.68,347,80,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
15,9,Glonass,23.1,-0.68,0,0,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
16,11,Glonass,38.7,-0.68,327,23,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
17,20,Glonass,27.8,-0.68,0,0,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
18,19,Glonass,28.8,-0.68,35,11,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
19,21,Glonass,38.3,-0.68,243,45,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
20,2,GPS,31.4,-0.05,87,69,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
21,6,GPS,26.9,-0.05,43,27,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
22,12,GPS,34.3,-0.05,30,68,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
23,19,GPS,23.4,-0.05,54,11,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
24,24,GPS,36.8,-0.05,192,45,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
25,25,GPS,41.7,-0.05,317,40,TORGI-GNSS-20180906T040403.516Z.gpkg,0,Control-71
