id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72
13850,4,Glonass,36.1,1.03,90,54,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13851,5,GPS,29.6,0,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13852,10,GPS,31.7,0,203,29,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13853,13,GPS,24,0,64,9,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13854,15,GPS,28.3,0,102,23,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13855,16,GPS,30.5,0,307,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13856,20,GPS,36,0,199,58,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13857,21,GPS,32.6,0,338,66,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13858,25,GPS,23.2,0,167,11,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13859,26,GPS,28.2,0,274,49,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13860,27,GPS,21.6,0,306,5,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13861,29,GPS,32.6,0,98,46,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13862,31,GPS,14.2,0,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13863,5,Beidou,28.5,-0.36,149,47,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13864,8,Beidou,13.6,-0.36,80,1,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13865,13,Beidou,24.5,-0.36,70,24,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13866,16,Beidou,19.3,-0.36,80,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13867,27,Beidou,35.7,-0.36,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13868,12,Galileo,17.1,0.07,314,50,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13869,19,Galileo,16.1,0.07,139,37,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13870,24,Galileo,17.9,0.07,277,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13871,25,Galileo,14.1,0.07,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13872,31,Galileo,21.7,0.07,215,27,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13873,10,Glonass,23.4,0.55,291,26,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13874,18,Glonass,24.4,0.55,85,14,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
