id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43
1,13,Glonass,26.4,-0.35,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
2,12,Glonass,29.4,-0.35,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
3,11,Glonass,35.5,-0.35,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
4,23,Glonass,27.5,-0.35,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
5,2,GPS,36.8,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
6,5,GPS,35.8,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
7,6,GPS,31.2,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
8,12,GPS,40.4,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
9,19,GPS,33.6,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
10,24,GPS,35.5,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
11,25,GPS,34.6,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
12,29,GPS,37.1,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
13,31,GPS,22.5,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
14,32,GPS,25.7,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
15,13,Glonass,24.8,-0.35,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
16,12,Glonass,31.4,-0.35,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
17,11,Glonass,40.5,-0.35,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
18,23,Glonass,26.4,-0.35,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
19,21,Glonass,29.4,-0.35,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
20,2,GPS,35.9,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
21,5,GPS,32,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
22,6,GPS,30,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
23,12,GPS,38.2,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
24,19,GPS,35.6,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
25,24,GPS,38.8,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
26,25,GPS,35.7,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
27,29,GPS,34,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
28,13,Glonass,25.4,-0.35,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
29,12,Glonass,32.1,-0.35,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
30,11,Glonass,36.2,-0.35,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
31,23,Glonass,40.2,-0.35,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
32,21,Glonass,23.3,-0.35,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
33,2,GPS,35.4,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
34,5,GPS,27.4,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
35,6,GPS,30.7,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
36,12,GPS,37.8,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
37,19,GPS,28.4,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
38,24,GPS,26.3,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
39,25,GPS,29.6,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
40,29,GPS,40,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
41,12,Glonass,33.8,-0.35,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
42,11,Glonass,36.1,-0.35,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
43,23,Glonass,40.1,-0.35,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
44,21,Glonass,27.9,-0.35,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
45,2,GPS,34.1,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
46,5,GPS,25,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
47,6,GPS,30,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
48,12,GPS,37.3,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
49,19,GPS,29.7,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
50,24,GPS,30.9,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
51,25,GPS,35.2,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
52,29,GPS,39.3,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
53,13,Glonass,28.3,-0.35,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
54,12,Glonass,32.7,-0.35,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
55,11,Glonass,35.9,-0.35,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
56,23,Glonass,39.6,-0.35,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
57,21,Glonass,23.6,-0.35,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
58,2,GPS,32.1,0.91,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
59,5,GPS,27.6,0.91,135,13,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
60,6,GPS,35.4,0.91,42,23,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
61,12,GPS,31.6,0.91,46,68,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
62,19,GPS,26.8,0.91,57,8,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
63,24,GPS,26.6,0.91,188,40,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
64,25,GPS,39.7,0.91,320,46,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
65,29,GPS,39.6,0.91,264,32,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
66,13,Glonass,28.9,-0.35,329,28,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
67,12,Glonass,30.8,-0.35,136,86,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
68,11,Glonass,36.5,-0.35,146,35,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
69,23,Glonass,40.5,-0.35,243,41,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
70,21,Glonass,25.7,-0.35,35,12,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
71,2,GPS,34.6,0.91,75,66,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
72,5,GPS,27.6,0.91,135,13,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
73,6,GPS,35.9,0.91,42,23,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
74,12,GPS,39,0.91,46,68,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
75,19,GPS,28.5,0.91,57,8,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
76,25,GPS,39.7,0.91,320,46,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
77,29,GPS,40.8,0.91,264,32,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
78,13,Glonass,29.7,-0.35,329,28,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
79,12,Glonass,32.7,-0.35,136,86,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
80,11,Glonass,37,-0.35,146,35,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
81,23,Glonass,40.1,-0.35,243,41,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
82,21,Glonass,24.3,-0.35,35,12,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
83,2,GPS,33.8,0.91,75,66,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
84,5,GPS,24.3,0.91,135,13,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
85,6,GPS,32.3,0.91,42,23,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
86,12,GPS,38.5,0.91,46,68,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
87,19,GPS,28.2,0.91,57,8,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
88,25,GPS,39.4,0.91,320,46,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
89,29,GPS,39.3,0.91,264,32,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
90,22,Glonass,38.3,-1.04,0,0,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
91,13,Glonass,30,-1.04,329,28,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
92,12,Glonass,31.5,-1.04,136,86,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
93,11,Glonass,36.2,-1.04,146,35,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
94,23,Glonass,39.1,-1.04,243,41,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
95,21,Glonass,22.5,-1.04,35,12,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
96,2,GPS,34,-0.05,75,66,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
97,5,GPS,25.7,-0.05,135,13,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
98,6,GPS,32.7,-0.05,42,23,TORGI-GNSS-20180908T040426.058Z.gpkg,0,Control-43,,,
